iter	RMSE
0	136247.6345
1	130944.481
2	126092.5086
3	121860.4333
4	118063.5338
5	114675.8493
6	111600.6157
7	108853.9937
8	106399.7702
9	104305.0555
10	102168.4829
11	100357.8472
12	98742.63034
13	97380.95139
14	96134.63889
15	94843.21382
16	93885.97016
17	92870.60236
18	91507.09329
19	90616.19648
20	89859.61908
21	88866.07844
22	88037.15442
23	87274.59632
24	86715.44937
25	85956.90637
26	85310.1353
27	84844.84012
28	84448.95085
29	84141.04745
30	83762.22288
31	83430.62986
32	83109.60481
33	82680.96284
34	82290.83936
35	81966.74221
36	81515.8779
37	81226.57231
38	80804.59038
39	80467.7066
40	80185.41195
41	79758.22614
42	79575.20568
43	79314.79642
44	79156.74012
45	78959.03304
46	78718.96524
47	78020.56062
48	77798.12518
49	77180.71626
50	76994.3897
51	76886.37075
52	76805.69918
53	76724.63533
54	76539.02168
55	76244.1948
56	76051.88198
57	75979.2061
58	75820.13293
59	75730.68524
60	75665.99523
61	75437.55898
62	75358.99896
63	74880.03264
64	74762.41797
65	74460.26551
66	74193.75462
67	74030.27487
68	73940.0897
69	73803.28166
70	73589.28413
71	73419.32516
72	72963.70126
73	72802.84189
74	72643.41265
75	72590.40608
76	72442.2793
77	72275.39045
78	72113.3888
79	71944.59743
80	71874.99506
81	71787.24081
82	71710.32222
83	71619.15147
84	71585.67264
85	71473.27644
86	70982.23131
87	70867.53087
88	70782.31744
89	70728.96044
90	70370.75927
91	70308.10294
92	70278.0458
93	70144.32999
94	69981.79546
95	69900.69033
96	69871.30799
97	69843.67675
98	69519.63289
99	69482.24085
100	69349.83095
101	69284.39538
102	69208.16773
103	69060.90159
104	68792.89567
105	68593.39263
106	68551.77304
107	68455.78666
108	68404.67397
109	68195.86336
110	68173.59829
111	68106.18157
112	67968.98636
113	67858.88101
114	67787.0015
115	67734.78508
116	67681.28463
117	67576.08877
118	67440.33433
119	67182.60058
120	67133.51069
121	67115.3561
122	67071.64658
123	67004.32498
124	66960.7939
125	66864.90489
126	66725.30963
127	66630.16612
128	66436.25892
129	66407.34481
130	66323.01361
131	66259.96251
132	66173.53694
133	66093.2679
134	66064.03469
135	65887.86105
136	65752.69793
137	65686.45894
138	65586.17575
139	65545.38969
140	65526.80215
141	65502.84581
142	65350.81998
143	65255.84508
144	65234.55798
145	65216.34341
146	65138.90336
147	65097.89405
148	65047.30941
149	64957.90579
150	64934.30475
151	64900.41501
152	64805.3728
153	64782.93557
154	64764.27225
155	64703.24033
156	64585.41193
157	64568.96409
158	64508.10553
159	64348.94924
160	64249.3231
161	64148.78532
162	64110.44797
163	64027.80201
164	63938.39467
165	63870.63588
166	63856.7617
167	63719.2704
168	63692.56607
169	63655.61363
170	63592.98184
171	63514.65582
172	63495.82743
173	63473.29372
174	63403.68414
175	63392.95187
176	63334.4647
177	63197.8383
178	63148.05982
179	63006.19324
180	62995.81247
181	62956.05486
182	62853.2946
183	62730.43937
184	62715.8981
185	62624.53083
186	62516.76343
187	62460.95808
188	62431.58727
189	62294.60714
190	62243.7732
191	62152.10713
192	62034.4712
193	61949.75602
194	61898.70743
195	61825.67222
196	61766.64531
197	61704.023
198	61660.5687
199	61583.76486
200	61466.40883
201	61402.10405
202	61372.54867
203	61335.1274
204	61306.82844
205	61250.69628
206	61199.66958
207	61129.08247
208	61100.85327
209	61020.1843
210	61010.23227
211	60978.8617
212	60953.68748
213	60927.89582
214	60901.1804
215	60852.07842
216	60769.64647
217	60691.67768
218	60620.73967
219	60551.93451
220	60523.79658
221	60460.95754
222	60447.53773
223	60372.77038
224	60303.89763
225	60241.4917
226	60213.82569
227	60136.9937
228	60039.15644
229	59994.63119
230	59945.84231
231	59890.17106
232	59844.18646
233	59806.64248
234	59730.46128
235	59637.49357
236	59600.92583
237	59522.80383
238	59477.82183
239	59435.09958
240	59382.2906
241	59364.03654
242	59345.05791
243	59280.59109
244	59233.08287
245	59198.4577
246	59133.16582
247	59060.24609
248	59026.42978
249	58938.75574
250	58881.99932
251	58841.90476
252	58782.74911
253	58756.17969
254	58703.07443
255	58646.32563
256	58603.04058
257	58555.29285
258	58473.30811
259	58451.98355
260	58407.08016
261	58353.70999
262	58323.68606
263	58238.6859
264	58182.25186
265	58167.88976
266	58150.65612
267	58106.10451
268	58082.27958
269	58070.11382
270	58029.99783
271	57974.60348
272	57917.2045
273	57886.45262
274	57870.85246
275	57797.83267
276	57780.49745
277	57718.51079
278	57690.7288
279	57660.04358
280	57630.82778
281	57608.5347
282	57570.64961
283	57528.90083
284	57485.19791
285	57465.19383
286	57450.87467
287	57409.59714
288	57367.78245
289	57353.3957
290	57284.30124
291	57261.42304
292	57211.66307
293	57200.70473
294	57158.54142
295	57144.46535
296	57084.28259
297	57076.31331
298	57050.677
299	57001.3858
300	56983.79847
301	56938.02467
302	56927.66134
303	56880.49276
304	56853.73823
305	56837.05311
306	56816.46505
307	56764.24798
308	56755.00563
309	56721.44306
310	56666.932
311	56615.94361
312	56606.14608
313	56588.89605
314	56557.96348
315	56504.23873
316	56469.37232
317	56446.05667
318	56398.75588
319	56389.78463
320	56367.36133
321	56345.36844
322	56315.62622
323	56276.62155
324	56266.44033
325	56251.12408
326	56215.23277
327	56201.94497
328	56183.60878
